sweep_param,sweep_value,requested_duty,applied_duty,configured_home_offset,repeat_index,sequence,coast_ms,rebound_ms,retrigger_ready_ms,ready_ms,estimated_strike_velocity_dps,retriggered,rebound_timeout,drum_position,home_position
home-offset,800,500,500,800,1,109,11,25,33,56,1200,0,0,352,-448
home-offset,800,500,500,800,2,110,12,25,33,56,1518,0,0,352,-448
home-offset,800,500,500,800,3,111,12,25,33,55,1464,0,0,352,-448
home-offset,1000,500,500,1000,1,112,15,26,36,70,1560,0,0,352,-648
home-offset,1000,500,500,1000,2,113,15,27,37,74,1506,0,0,352,-648
home-offset,1000,500,500,1000,3,114,15,27,37,74,1494,0,0,352,-648
home-offset,1200,500,500,1200,1,115,16,27,38,84,1728,0,0,352,-848
home-offset,1200,500,500,1200,2,116,17,28,39,86,1782,0,0,352,-848
home-offset,1200,500,500,1200,3,117,17,28,39,86,1770,0,0,352,-848
home-offset,1400,500,500,1400,1,118,19,28,41,90,2208,0,0,352,-1048
home-offset,1400,500,500,1400,2,119,20,29,42,91,2070,0,0,352,-1048
home-offset,1400,500,500,1400,3,120,19,28,41,90,2304,0,0,352,-1048
home-offset,1600,500,500,1600,1,121,21,30,45,97,2238,0,0,352,-1248
home-offset,1600,500,500,1600,2,122,22,31,45,99,2142,0,0,352,-1248
home-offset,1600,500,500,1600,3,123,22,31,46,99,2106,0,0,352,-1248
home-offset,1800,500,500,1800,1,124,22,31,45,100,2466,0,0,352,-1448
home-offset,1800,500,500,1800,2,125,23,32,47,100,2304,0,0,352,-1448
home-offset,1800,500,500,1800,3,126,24,32,79,104,2304,0,0,352,-1448
home-offset,2000,500,500,2000,1,127,24,32,85,109,2478,0,0,352,-1648
home-offset,2000,500,500,2000,2,128,25,33,80,104,2520,0,0,352,-1648
home-offset,2000,500,500,2000,3,129,25,33,86,110,2490,0,0,352,-1648
home-offset,2200,500,500,2200,1,130,26,34,86,110,2610,0,0,352,-1848
home-offset,2200,500,500,2200,2,131,27,35,88,111,2622,0,0,352,-1848
home-offset,2200,500,500,2200,3,132,27,35,88,112,2640,0,0,352,-1848
