t_sec,state,fault,mode,current_ma,hall,angle,angle_deg,velocity_rpm,target,position
-0.2878,0,0,2,61,6,9126,200.52,-1,0,0
-0.2718,0,0,2,61,6,9126,200.52,-1,0,0
-0.2557,0,0,2,61,6,9126,200.52,-1,0,0
-0.2397,0,0,2,61,6,9126,200.52,-1,0,0
-0.2239,0,0,2,61,6,9126,200.52,-1,0,0
-0.2078,0,0,2,61,6,9126,200.52,-1,0,0
-0.1919,0,0,2,61,6,9126,200.52,-1,0,0
-0.1759,0,0,2,61,6,9126,200.52,-1,0,0
-0.1599,0,0,2,61,6,9126,200.52,-1,0,0
-0.1439,0,0,2,61,6,9126,200.52,-1,0,0
-0.1279,0,0,2,61,6,9126,200.52,-1,0,0
-0.1120,0,0,2,61,6,9126,200.52,-1,0,0
-0.0960,0,0,2,61,6,9126,200.52,-1,0,0
-0.0800,0,0,2,61,6,9126,200.52,-1,0,0
-0.0639,0,0,2,61,6,9126,200.52,-1,0,0
-0.0480,0,0,2,61,6,9126,200.52,-1,0,0
-0.0318,0,0,2,61,6,9126,200.52,-1,0,0
-0.0159,0,0,2,61,6,9126,200.52,-1,0,0
-0.0000,0,0,2,61,6,9126,200.52,-1,0,0
0.0161,0,0,2,61,6,9126,200.52,-1,0,0
0.0320,1,0,2,61,6,9096,199.86,30,137,30
0.0482,1,0,2,61,6,8987,197.47,68,152,139
0.0639,1,0,2,61,6,8823,193.86,95,167,303
0.0799,1,0,2,61,2,8618,189.36,121,178,508
0.0959,1,0,2,122,2,8372,183.96,145,188,754
0.1119,1,0,2,183,3,8085,177.65,160,194,1041
0.1279,1,0,2,183,3,7783,171.01,174,200,1343
0.1439,1,0,2,183,1,7461,163.94,184,202,1665
0.1599,1,0,2,244,1,7129,156.64,186,204,1997
0.1758,1,0,2,122,5,6796,149.33,191,203,2330
0.1918,1,0,2,122,5,6442,141.55,197,200,2684
0.2079,1,0,2,0,4,6094,133.90,198,196,3032
0.2239,1,0,2,122,6,5754,126.43,187,190,3372
0.2398,1,0,2,61,6,5441,119.55,177,184,3685
0.2558,1,0,2,122,2,5131,112.74,178,175,3995
0.2718,1,0,2,122,2,4820,105.91,169,167,4306
0.2877,1,0,2,122,3,4525,99.43,165,156,4601
0.3038,1,0,2,183,3,4261,93.63,146,146,4865
0.3197,1,0,2,122,1,4020,88.33,128,134,5106
0.3357,1,0,2,122,1,3810,83.72,117,123,5316
0.3517,1,0,2,122,5,3603,79.17,111,110,5523
0.3677,1,0,2,122,5,3418,75.10,101,98,5708
0.3837,1,0,2,61,5,3251,71.43,86,84,5875
0.3998,1,0,2,122,5,3112,68.38,76,72,6014
0.4156,1,0,2,122,4,2991,65.72,62,58,6135
0.4316,1,0,2,122,4,2898,63.68,50,47,6228
0.4476,1,0,2,122,4,2834,62.27,30,35,6292
0.4636,1,0,2,122,4,2796,61.44,18,23,6330
0.4796,1,0,2,61,4,2778,61.04,7,12,6348
0.4956,1,0,2,122,4,2774,60.95,0,0,6352
0.5116,1,0,2,122,4,2781,61.11,-6,-8,6345
0.5276,1,0,2,122,4,2792,61.35,-8,-19,6334
0.5437,1,0,2,122,4,2799,61.50,-3,-29,6327
0.5596,1,0,2,122,4,2803,61.59,-1,-40,6323
0.5756,1,0,2,122,4,2803,61.59,-1,-50,6323
0.5915,1,0,2,61,4,2803,61.59,-1,-61,6323
0.6075,1,0,2,61,4,2807,61.68,-5,-71,6319
0.6236,1,0,2,122,4,2808,61.70,-1,-82,6318
0.6395,1,0,2,122,4,2809,61.72,-1,-92,6317
0.6556,1,0,2,122,4,2808,61.70,1,-103,6318
0.6716,1,0,2,61,4,2800,61.52,6,-113,6326
0.6875,1,0,2,244,4,2696,59.24,90,-128,6430
0.7035,1,0,2,244,6,2571,56.49,-78,-143,6555
0.7195,1,0,2,61,4,2947,64.75,-203,-143,6179
0.7356,1,0,2,122,5,3272,71.89,-171,-143,5854
0.7515,1,0,2,61,5,3525,77.45,-136,-143,5601
0.7675,1,0,2,122,1,3726,81.87,-112,-143,5400
0.7834,1,0,2,122,1,3936,86.48,-120,-143,5190
0.7994,1,0,2,61,1,4153,91.25,-124,-141,4973
0.8154,1,0,2,61,3,4380,96.24,-123,-138,4746
0.8316,1,0,2,61,3,4587,100.79,-118,-134,4539
0.8474,1,0,2,61,3,4801,105.49,-118,-129,4325
0.8634,1,0,2,122,2,4994,109.73,-110,-125,4132
0.8794,1,0,2,122,2,5196,114.17,-114,-119,3930
0.8953,1,0,2,122,6,5398,118.61,-111,-111,3728
0.9115,1,0,2,122,6,5582,122.65,-105,-104,3544
0.9273,1,0,2,305,6,5766,126.69,-98,-95,3360
0.9433,1,0,2,183,6,5920,130.08,-85,-87,3206
0.9593,1,0,2,122,4,6055,133.04,-75,-78,3071
0.9753,1,0,2,183,4,6174,135.66,-63,-70,2952
0.9913,1,0,2,183,4,6270,137.77,-51,-61,2856
1.0073,1,0,2,122,4,6352,139.57,-46,-53,2774
1.0234,1,0,2,122,4,6426,141.20,-41,-44,2700
1.0393,1,0,2,122,5,6483,142.45,-30,-35,2643
1.0552,1,0,2,122,5,6531,143.50,-27,-27,2595
1.0712,1,0,2,122,5,6566,144.27,-18,-19,2560
1.0872,1,0,2,244,5,6587,144.73,-12,-10,2539
1.1032,1,0,2,122,5,6599,145.00,-4,-3,2527
1.1192,1,0,2,122,5,6599,145.00,-1,5,2527
1.1352,1,0,2,122,5,6597,144.95,1,11,2529
1.1512,1,0,2,122,5,6586,144.71,7,19,2540
1.1672,1,0,2,122,5,6575,144.47,4,25,2551
1.1832,1,0,2,122,5,6569,144.34,2,33,2557
1.1993,1,0,2,122,5,6568,144.32,0,40,2558
1.2151,1,0,2,122,5,6567,144.29,1,48,2559
1.2312,1,0,2,61,5,6565,144.25,1,54,2561
1.2472,1,0,2,122,5,6563,144.21,1,62,2563
1.2631,1,0,2,122,5,6560,144.14,1,69,2566
1.2792,1,0,2,122,5,6558,144.10,0,76,2568
1.2951,1,0,2,61,5,6558,144.10,0,84,2568
1.3111,1,0,2,122,5,6558,144.10,0,90,2568
1.3271,1,0,2,122,5,6559,144.12,-2,98,2567
1.3431,1,0,2,183,5,6615,145.35,-50,106,2511
1.3591,1,0,2,732,1,7053,154.97,-362,127,2073
1.3751,1,0,2,244,1,7058,155.08,218,141,2068
1.3910,1,0,2,122,5,6548,143.88,276,133,2578
1.4071,1,0,2,122,4,6093,133.88,253,126,3033
1.4230,1,0,2,61,6,5705,125.35,200,118,3421
1.4390,1,0,2,122,6,5416,119.00,156,113,3710
1.4549,1,0,2,122,2,5195,114.15,110,107,3931
1.4709,1,0,2,122,2,5042,110.79,83,103,4084
1.4870,1,0,2,122,2,4916,108.02,67,99,4210
