t_sec,state,fault,mode,current_ma,hall,angle,angle_deg,velocity_rpm,target,position
-0.2878,1,0,2,13,2,10461,229.86,0,0,-1062
-0.2718,1,0,2,9,2,10461,229.86,0,0,-1062
-0.2558,1,0,2,18,2,10459,229.81,0,0,-1060
-0.2397,1,0,2,24,2,10458,229.79,0,-1,-1059
-0.2238,1,0,2,21,2,10461,229.86,0,0,-1062
-0.2078,1,0,2,10,2,10463,229.90,0,0,-1064
-0.1918,1,0,2,17,2,10459,229.81,0,0,-1060
-0.1755,1,0,2,13,2,10461,229.86,0,0,-1062
-0.1598,1,0,2,17,2,10459,229.81,0,0,-1060
-0.1438,1,0,2,13,2,10460,229.83,0,0,-1061
-0.1280,1,0,2,15,2,10460,229.83,0,0,-1061
-0.1119,1,0,2,10,2,10461,229.86,0,0,-1062
-0.0959,1,0,2,13,2,10460,229.83,0,0,-1061
-0.0800,1,0,2,18,2,10459,229.81,0,0,-1060
-0.0640,1,0,2,17,2,10459,229.81,0,0,-1060
-0.0480,1,0,2,30,2,10461,229.86,-9,0,-1062
-0.0319,1,0,2,16,2,10462,229.88,0,0,-1063
-0.0159,1,0,2,7,2,10461,229.86,5,0,-1062
-0.0000,1,0,2,11,2,10462,229.88,0,0,-1063
0.0160,1,0,3,13,2,10462,229.88,0,800,-1063
0.0319,1,0,3,827,1,9642,211.86,390,800,-243
0.0480,1,0,2,462,4,8584,188.61,-394,-598,815
0.0639,1,0,2,801,2,10409,228.71,-317,-132,-1010
0.0799,1,0,2,245,6,11094,243.76,-35,187,-1695
0.0959,1,0,2,498,6,10886,239.19,215,155,-1487
0.1119,1,0,2,370,2,10337,227.13,44,-4,-938
0.1278,1,0,2,58,2,10379,228.05,-27,-2,-980
0.1438,1,0,2,32,2,10412,228.78,-7,1,-1013
0.1598,1,0,2,15,2,10432,229.22,-4,4,-1033
0.1758,1,0,2,14,2,10428,229.13,0,0,-1029
0.1918,1,0,2,15,2,10440,229.39,0,2,-1041
0.2078,1,0,2,28,2,10437,229.33,0,0,-1038
0.2239,1,0,2,10,2,10447,229.55,-6,0,-1048
0.2398,1,0,2,27,2,10445,229.50,0,-1,-1046
0.2559,1,0,2,12,2,10452,229.66,-3,0,-1053
0.2718,1,0,2,21,2,10451,229.64,0,-1,-1052
0.2879,1,0,2,14,2,10455,229.72,0,0,-1056
0.3038,1,0,2,25,2,10456,229.75,3,0,-1057
0.3198,1,0,2,33,2,10457,229.77,-6,0,-1058
