sweep_param,sweep_value,requested_current_ma,applied_current_ma,configured_home_offset,repeat_index,sequence,coast_ms,rebound_ms,retrigger_ready_ms,ready_ms,estimated_strike_velocity_dps,retriggered,rebound_timeout,drum_position,home_position
current,50,50,50,1024,1,136,62,71,83,106,768,0,0,7891,6867
current,50,50,50,1024,2,137,61,70,82,137,648,0,0,7891,6867
current,50,50,50,1024,3,138,61,70,82,135,630,0,0,7891,6867
current,100,100,100,1024,1,139,46,53,64,125,894,0,0,7891,6867
current,100,100,100,1024,2,140,46,53,64,126,888,0,0,7891,6867
current,100,100,100,1024,3,141,46,54,65,88,864,0,0,7891,6867
current,150,150,150,1024,1,142,39,46,56,80,1038,0,0,7891,6867
current,150,150,150,1024,2,143,39,46,56,80,1020,0,0,7891,6867
current,150,150,150,1024,3,144,40,47,57,81,1206,0,0,7891,6867
current,200,200,200,1024,1,145,36,42,52,109,1146,0,0,7891,6867
current,200,200,200,1024,2,146,36,42,52,76,1116,0,0,7891,6867
current,200,200,200,1024,3,147,35,41,51,109,1200,0,0,7891,6867
current,250,250,250,1024,1,148,33,39,49,97,1266,0,0,7891,6867
current,250,250,250,1024,2,149,33,39,48,74,1218,0,0,7891,6867
current,250,250,250,1024,3,150,32,38,48,94,1470,0,0,7891,6867
current,300,300,300,1024,1,151,31,37,46,73,1314,0,0,7891,6867
current,300,300,300,1024,2,152,31,36,46,92,1326,0,0,7891,6867
current,300,300,300,1024,3,153,30,36,46,92,1314,0,0,7891,6867
current,350,350,350,1024,1,154,29,35,44,84,1362,0,0,7891,6867
current,350,350,350,1024,2,155,29,35,44,70,1380,0,0,7891,6867
current,350,350,350,1024,3,156,29,35,44,93,1392,0,0,7891,6867
current,400,400,400,1024,1,157,28,34,43,68,1410,0,0,7891,6867
current,400,400,400,1024,2,158,28,34,43,67,1428,0,0,7891,6867
current,400,400,400,1024,3,159,28,34,43,84,1482,0,0,7891,6867
current,450,450,450,1024,1,160,27,32,41,67,1482,0,0,7891,6867
current,450,450,450,1024,2,161,28,33,42,67,1500,0,0,7891,6867
current,450,450,450,1024,3,162,28,33,42,67,1506,0,0,7891,6867
current,500,500,500,1024,1,163,26,32,41,66,1554,0,0,7891,6867
current,500,500,500,1024,2,164,27,32,41,67,1566,0,0,7891,6867
current,500,500,500,1024,3,165,26,32,41,67,1542,0,0,7891,6867
current,550,550,550,1024,1,166,25,31,40,66,1620,0,0,7891,6867
current,550,550,550,1024,2,167,26,31,40,67,1602,0,0,7891,6867
current,550,550,550,1024,3,168,25,31,39,66,1620,0,0,7891,6867
current,600,600,600,1024,1,169,19,24,33,57,2232,0,0,7891,6867
current,600,600,600,1024,2,170,20,24,32,57,2226,0,0,7891,6867
current,600,600,600,1024,3,171,20,25,33,58,2250,0,0,7891,6867
current,650,650,650,1024,1,172,19,24,32,57,2250,0,0,7891,6867
current,650,650,650,1024,2,173,19,24,33,57,2238,0,0,7891,6867
current,650,650,650,1024,3,174,20,24,32,57,2286,0,0,7891,6867
current,700,700,700,1024,1,175,19,24,33,57,2244,0,0,7891,6867
current,700,700,700,1024,2,176,17,21,29,54,2772,0,0,7891,6867
current,700,700,700,1024,3,177,16,21,29,54,2766,0,0,7891,6867
current,750,750,750,1024,1,178,16,21,29,54,2760,0,0,7891,6867
current,750,750,750,1024,2,179,17,21,29,54,2760,0,0,7891,6867
current,750,750,750,1024,3,180,17,21,29,54,2784,0,0,7891,6867
current,800,800,800,1024,1,181,16,21,29,54,2796,0,0,7891,6867
current,800,800,800,1024,2,182,17,21,29,54,2796,0,0,7891,6867
current,800,800,800,1024,3,183,16,21,29,54,2802,0,0,7891,6867
current,850,850,850,1024,1,184,17,22,31,55,2406,0,0,7891,6867
current,850,850,850,1024,2,185,18,23,32,56,2394,0,0,7891,6867
current,850,850,850,1024,3,186,17,22,31,55,2400,0,0,7891,6867
current,900,900,900,1024,1,187,18,23,32,57,2334,0,0,7891,6867
current,900,900,900,1024,2,188,18,23,32,56,2322,0,0,7891,6867
current,900,900,900,1024,3,189,18,23,32,56,2304,0,0,7891,6867
